configuration_id,LL_dynamic_02_alpha,LL_dynamic_02_beta,LL_dynamic_02_gamma,LL_dynamic_02_a,LL_dynamic_02_b,seed,time,bound,solved
347,0.5985,1.5701,0.3796,1.0711,0.7935,976064959,22110,138015,1
347,0.5985,1.5701,0.3796,1.0711,0.7935,926352561,21489,69458,1
347,0.5985,1.5701,0.3796,1.0711,0.7935,1590962420,21102,93054,1
347,0.5985,1.5701,0.3796,1.0711,0.7935,1129705271,21166,22590,1
348,0.8318,2.0228,0.7372,1.3407,0.5038,395064476,23399,23391,0
348,0.8318,2.0228,0.7372,1.3407,0.5038,1129705271,21875,22590,1
349,0.9325,1.3574,0.869,1.1112,0.6767,1010701430,22509,47157,1
349,0.9325,1.3574,0.869,1.1112,0.6767,1673570350,22885,161180,1
349,0.9325,1.3574,0.869,1.1112,0.6767,1511508930,20291,2e+05,1
349,0.9325,1.3574,0.869,1.1112,0.6767,395064476,22705,23592,1
349,0.9325,1.3574,0.869,1.1112,0.6767,2037563455,23532,184084,1
349,0.9325,1.3574,0.869,1.1112,0.6767,1177142122,22159,115038,1
349,0.9325,1.3574,0.869,1.1112,0.6767,976064959,22392,137507,1
349,0.9325,1.3574,0.869,1.1112,0.6767,926352561,23397,68950,1
349,0.9325,1.3574,0.869,1.1112,0.6767,1590962420,23273,92546,1
349,0.9325,1.3574,0.869,1.1112,0.6767,1129705271,21674,22590,1
350,1.9703,2.1755,1.3523,1.4208,0.5809,1129705271,22712,22590,0
351,1.7459,1.9887,1.4701,1.2161,0.6789,1129705271,22631,22590,0
352,0.4496,1.2738,0.8473,1.1059,0.686,976964627,21941,2e+05,1
352,0.4496,1.2738,0.8473,1.1059,0.686,1010701430,19629,46983,1
352,0.4496,1.2738,0.8473,1.1059,0.686,917007886,20626,2e+05,1
352,0.4496,1.2738,0.8473,1.1059,0.686,1673570350,21418,161006,1
352,0.4496,1.2738,0.8473,1.1059,0.686,1511508930,20442,2e+05,1
352,0.4496,1.2738,0.8473,1.1059,0.686,395064476,20431,23418,1
352,0.4496,1.2738,0.8473,1.1059,0.686,2037563455,20364,183910,1
352,0.4496,1.2738,0.8473,1.1059,0.686,1177142122,20600,114864,1
352,0.4496,1.2738,0.8473,1.1059,0.686,976064959,20629,137333,1
352,0.4496,1.2738,0.8473,1.1059,0.686,926352561,20660,68776,1
352,0.4496,1.2738,0.8473,1.1059,0.686,1590962420,20375,92372,1
352,0.4496,1.2738,0.8473,1.1059,0.686,1129705271,21848,22590,1
353,1.1468,2.2637,0.8035,1.198,0.565,1129705271,22611,22590,0
354,1.0467,2.0692,1.4756,1.3104,0.4726,1129705271,22602,22590,0
355,1.7401,1.7416,0.7245,1.1613,0.7345,1129705271,22612,22590,0
356,1.2529,1.755,0.8585,1.0441,0.6698,1129705271,22592,22590,0
357,1.0587,2.0957,1.3685,1.3638,0.4313,1129705271,22656,22590,0
358,0.3352,2.1518,0.5984,1.0122,0.7331,1129705271,22595,22590,0
359,1.0479,1.5365,1.0106,1.1126,0.6344,1129705271,22615,22590,0
360,1.8819,2.7671,1.8513,1.2198,0.5063,1129705271,22603,22590,0
361,1.2745,2.4295,0.9861,1.2847,0.5061,1129705271,22635,22590,0
362,2.5774,1.1178,0.4587,1.0509,0.6657,1129705271,22590,22590,0
363,0.9042,1.9712,0.8987,1.0745,0.6958,1129705271,22620,22590,0
364,1.6646,3.2105,0.8243,1.6191,0.5586,1129705271,22639,22590,0
365,0.5467,1.8211,0.3673,1.2759,0.7413,1129705271,22644,22590,0
