configuration_id,LL_dynamic_02_alpha,LL_dynamic_02_beta,LL_dynamic_02_gamma,LL_dynamic_02_a,LL_dynamic_02_b,seed,time,bound,solved
1516,0.3562,1.7254,1.1353,1.159,0.7036,2037563455,34290,35799,1
1516,0.3562,1.7254,1.1353,1.159,0.7036,976064959,35098,71095,1
1516,0.3562,1.7254,1.1353,1.159,0.7036,926352561,34149,140351,1
1516,0.3562,1.7254,1.1353,1.159,0.7036,633393695,36363,245029,1
1516,0.3562,1.7254,1.1353,1.159,0.7036,1308842760,34692,176333,1
1516,0.3562,1.7254,1.1353,1.159,0.7036,1765008485,35242,106191,1
1516,0.3562,1.7254,1.1353,1.159,0.7036,1665618392,34202,34699,1
1517,0.3586,1.7218,1.1338,1.1612,0.704,1665618392,34764,34699,0
1518,0.3631,1.6547,1.0457,1.1625,0.7106,976964627,34863,250000,1
1518,0.3631,1.6547,1.0457,1.1625,0.7106,1010701430,33762,250000,1
1518,0.3631,1.6547,1.0457,1.1625,0.7106,917007886,34966,250000,1
1518,0.3631,1.6547,1.0457,1.1625,0.7106,1673570350,34268,250000,1
1518,0.3631,1.6547,1.0457,1.1625,0.7106,1511508930,35492,210847,1
1518,0.3631,1.6547,1.0457,1.1625,0.7106,395064476,34459,250000,1
1518,0.3631,1.6547,1.0457,1.1625,0.7106,2037563455,33759,36100,1
1518,0.3631,1.6547,1.0457,1.1625,0.7106,976064959,35746,71396,1
1518,0.3631,1.6547,1.0457,1.1625,0.7106,926352561,35505,140652,1
1518,0.3631,1.6547,1.0457,1.1625,0.7106,633393695,34002,245330,1
1518,0.3631,1.6547,1.0457,1.1625,0.7106,1308842760,36199,176634,1
1518,0.3631,1.6547,1.0457,1.1625,0.7106,1765008485,33963,106492,1
1518,0.3631,1.6547,1.0457,1.1625,0.7106,1665618392,33901,34699,1
1519,0.5152,1.5628,0.8884,1.1371,0.6855,1665618392,34779,34699,0
1520,0.3486,1.7302,1.1378,1.1612,0.7041,2037563455,34900,35533,1
1520,0.3486,1.7302,1.1378,1.1612,0.7041,976064959,35741,70829,1
1520,0.3486,1.7302,1.1378,1.1612,0.7041,926352561,35837,140085,1
1520,0.3486,1.7302,1.1378,1.1612,0.7041,1765008485,33881,105925,1
1520,0.3486,1.7302,1.1378,1.1612,0.7041,1665618392,34468,34699,1
1521,0.3674,1.6566,1.0581,1.1645,0.7113,1665618392,34706,34699,0
1522,0.3799,1.6596,1.0722,1.1623,0.7115,1665618392,34782,34699,0
1523,0.3554,1.7222,1.1228,1.1629,0.7026,976964627,34264,250000,1
1523,0.3554,1.7222,1.1228,1.1629,0.7026,1511508930,34192,210682,1
1523,0.3554,1.7222,1.1228,1.1629,0.7026,395064476,36794,250000,1
1523,0.3554,1.7222,1.1228,1.1629,0.7026,2037563455,35036,35935,1
1523,0.3554,1.7222,1.1228,1.1629,0.7026,976064959,35429,71231,1
1523,0.3554,1.7222,1.1228,1.1629,0.7026,926352561,35397,140487,1
1523,0.3554,1.7222,1.1228,1.1629,0.7026,633393695,34441,245165,1
1523,0.3554,1.7222,1.1228,1.1629,0.7026,1308842760,34995,176469,1
1523,0.3554,1.7222,1.1228,1.1629,0.7026,1765008485,34417,106327,1
1523,0.3554,1.7222,1.1228,1.1629,0.7026,1665618392,34066,34699,1
1524,0.3733,1.6409,1.058,1.1638,0.711,2037563455,34364,35598,1
1524,0.3733,1.6409,1.058,1.1638,0.711,976064959,36199,70894,1
1524,0.3733,1.6409,1.058,1.1638,0.711,926352561,35568,140150,1
1524,0.3733,1.6409,1.058,1.1638,0.711,1765008485,34629,105990,1
1524,0.3733,1.6409,1.058,1.1638,0.711,1665618392,34403,34699,1
1525,0.3617,1.7156,1.1338,1.1634,0.7037,1665618392,34755,34699,0
1526,0.506,1.5421,0.8976,1.1376,0.6869,1665618392,34770,34699,0
1527,0.3726,1.6562,1.0626,1.1622,0.7118,1665618392,34765,34699,0
1528,0.3483,1.7194,1.1456,1.1603,0.7025,2037563455,35605,35485,0
1528,0.3483,1.7194,1.1456,1.1603,0.7025,1665618392,34516,34699,1
1529,0.3847,1.6472,1.072,1.1642,0.7111,1665618392,34707,34699,0
1530,0.3511,1.7202,1.1262,1.1591,0.7031,1665618392,34726,34699,0
1531,0.3767,1.6433,1.0564,1.1628,0.711,1665618392,34746,34699,0
1532,0.3489,1.6966,1.1363,1.1601,0.7041,1665618392,34755,34699,0
1533,0.5284,1.567,0.8989,1.1383,0.6869,1665618392,34704,34699,0
1534,0.3749,1.644,1.0688,1.1626,0.7106,1665618392,34871,34699,0
1535,0.3524,1.7272,1.1239,1.1633,0.703,2037563455,35770,35753,0
1535,0.3524,1.7272,1.1239,1.1633,0.703,1665618392,34248,34699,1
1536,0.3586,1.7304,1.1261,1.1583,0.7026,1665618392,34703,34699,0
1537,0.3816,1.655,1.0471,1.1633,0.7113,1665618392,34760,34699,0
1538,0.5091,1.5686,0.8953,1.1373,0.6863,1665618392,34761,34699,0
1539,0.3626,1.7214,1.1325,1.1631,0.7027,1665618392,34711,34699,0
1540,0.3946,1.6702,1.0557,1.1634,0.7108,2037563455,35591,35556,0
1540,0.3946,1.6702,1.0557,1.1634,0.7108,1665618392,34445,34699,1
1541,0.3692,1.713,1.1326,1.162,0.7031,1665618392,34848,34699,0
1542,0.3885,1.6515,1.0715,1.1652,0.7109,1665618392,34706,34699,0
1543,0.378,1.6506,1.0626,1.1604,0.7109,1665618392,34770,34699,0
1544,0.3756,1.6495,1.0716,1.1625,0.7105,1665618392,34767,34699,0
1545,0.5161,1.5621,0.8814,1.1378,0.6872,2037563455,35860,35766,0
1545,0.5161,1.5621,0.8814,1.1378,0.6872,1665618392,34235,34699,1
1546,0.3649,1.7118,1.1303,1.161,0.703,2037563455,35735,36137,1
1546,0.3649,1.7118,1.1303,1.161,0.703,976064959,35974,71433,1
1546,0.3649,1.7118,1.1303,1.161,0.703,1665618392,33864,34699,1
1547,0.389,1.6569,1.069,1.1628,0.7107,1665618392,34731,34699,0
1548,0.3917,1.6601,1.0503,1.1653,0.7107,1665618392,34838,34699,0
1549,0.3792,1.6549,1.0468,1.1625,0.711,1665618392,34746,34699,0
1550,0.3718,1.7219,1.1339,1.1599,0.7039,1665618392,34828,34699,0
1551,0.5183,1.5647,0.8723,1.138,0.6862,1665618392,34772,34699,0
1552,0.3772,1.6601,1.0557,1.1625,0.7114,2037563455,35445,35435,0
1552,0.3772,1.6601,1.0557,1.1625,0.7114,1665618392,34566,34699,1
